BTTR,MULN,VIVK,LINK,ABVC,CODA,NCPL,TGTX,COSM,OPXS,SPCB,BLFS,RCAT,TOMZ,MARA,BBY,BVFL,NVO,RSG
0,0,0,0,0,0.107142897,0,0,0,0,0,0,0,0,0,-0.001689392,-0.125,0.050897599,0.010470572
0,-0.28,0,0,0,-0.086021494,0,0.083333333,0,0,0,-0.099999991,0.5,0,0,-0.003806756,0,0.023941701,-0.005828902
0,0.166666667,0,0.066666961,0,0.047058816,0,-0.076923077,0,0,0,0,0,0,0,-0.025477408,0,-0.031287644,-0.008143071
0,0,0,0,0,0,0,0,-0.367500007,0,0,0,0,0,0,-0.013071905,0.269841321,0.009060078,0.0098521
0,0,0,0,0,-0.002247277,0,0,0,0,0,-0.222222201,0,0,0,0,0,-0.006168748,-0.003251916
0,0,0,0.012499761,0,0.002252338,-0.142857143,0,0.462450628,0,0,0,0,0,0,-0.058720147,0,-0.004482478,-0.017944638
0,0,0,0,0,0,0,0.083333333,0,0,0,0,0,0,0,0.030018724,0,0.000692672,0.012956755
0,0,0,0,0,0.011235906,0,-0.153846154,0,0.153846204,0,0,0,0,0,0.012750828,0,0.008445967,0.013119299
0,-0.047619048,0,0,0,0,0,0,0,0,0,0,0.333333333,0,0,-0.008992852,0,0.00041186,-0.0035612
0,0,0.018181764,0,0,-0.166666698,0,-0.090909091,0,-0.066666615,0,0,0,0,0,-0.008620972,0,0.022644506,-0.001624491
0,0,0,0,0,-0.266666652,0,0,0,0.1428571,0,0,0,0,0,0.010604403,0,0.015500263,0.007484566
-0.5,0,0,0,0,0.636363665,0,0,0,0,0,0,-0.625,0,0,0.006386334,0,-0.003766532,0.000646268
0,0.15,-0.017857091,0.061728665,0,-0.222222201,0,0.2,0,0,-0.75,0.714285627,0,0,0,-0.002719763,0,-0.00484199,-0.005164857
0,0,0,0,0,0.071428502,0,0,0,-0.437499918,2.75,-0.33333331,0.333333333,0,0,-0.024090764,0,0.012263614,0.006165085
0,0.043478261,0,0,0,0.12000005,-0.166666667,0,0,0.777777517,0,0,0,0,0,0.013041559,-0.212500032,-0.019620765,-0.007739595
0,0.041666667,0,0,0,-0.285714307,0,-0.083333333,0,0,0,0.249999973,1.25,0,0,-0.002298869,0,-0.001208665,0
0,0,0,0,0,0.166666726,0,0,0,0.249999934,-0.533333333,-0.199999983,-0.222222222,0,0,0.017511662,0,0.000806714,0.008774802
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001358363,0,0.014579245,0.003221611
0,0,0,0,0.024691342,0,0,-0.090909091,0,0.249999974,0.142857143,0,-0.285714286,0,0,0.009950331,0,-0.042778343,-0.132626941
0,-0.56,0,0,0,-0.178571437,0,0.102222188,0,0,0,0,0,0,0,-0.011643511,0,0.017087423,0.013328402
0,0.272727273,0.005454547,0,0.80722887,0.043478219,0,0,0,-0.039999845,0,0,0.4,-0.25,0,0.017217968,0,-0.005237392,0.005480654
0,0,0,0,0,0.166666726,0,0,0,-0.041666762,0.625,0.249999973,0,0,0,-0.015590102,0,0.006700878,-0.006904444
0,0,0,0,-0.333333318,0,0,0,0,-0.130434818,-0.153846154,0.099999991,0,0,0,-0.023076879,0,0.014602917,-0.006219722
0,0,0,0,0,-0.214285749,0,0,0,0.050000016,0,-0.272727252,0,0,0,-0.035664885,0,-0.013522351,-0.010309456
0,0,0,0,0,0.090909084,0,0,0,-0.142856985,0,0,0,0,0,-0.00960568,0,0.00156073,0.000743823
0,0.142857143,0,0,0,0.166666726,0,0,0,0,0,0,-0.142857143,0,-0.130434772,-0.024248797,0,0.002574669,-0.002973799
0,0,0,0,0,0,0,0,0,0.333333255,0,0,0,0,0,-0.000993792,0,-0.030411685,-0.012304321
0,0,0,0,0,0,0,0,0,-0.166666784,0.363636364,0,0.166666667,0,0,-0.007960137,0,0.007109701,0.020385376
0,0,0,0,0,0,0,0,0,0,0.066666667,-0.124999987,-0.142857143,0,0.010000009,-0.033099243,0,0.009758349,-0.011468939
0,0,0,0,0,0,0,0,-0.5945946,0,0,0,0.166666667,0,0.019801997,0.014522542,0,-0.024742793,-0.037051108
2,-0.125,0,0,0,-0.142857186,0,0.008064547,0,0,0,0,0,0,-0.019417492,-0.022494618,0,-0.023824662,-0.002331956
0,0,0,-0.069767459,0,0,0,-0.008000031,0,0,0,0,0,0,0,-0.010460267,0,0.020302264,0.011686658
0,0,0,0,0,0,0,0.008064547,0,0,0,0,0,0,-0.069306918,-0.025370179,0,-0.007126618,-0.00269535
0,0,0,0.124999735,0,-0.119999977,0,0,0.333333333,0,-0.4375,0,0,0,0,-0.022776483,0,0.005472257,0.003474882
0,0,0,0,0,0.136363607,0,-0.008000031,0,0,0.444444444,0.142857125,0,0,0,0.008324362,0,0.025374511,0.01616021
0,0,0,0.111110802,0,0,0,0,-0.25,-0.54999991,0,0,0,0,0,0.015960358,0,-0.003722308,0.00833041
0,0,-0.005424957,0,0,0,0,-0.006451607,-0.199999968,-0.222222307,0,0,0,0,0,0.00595867,0,-0.021172084,0.010514278
0,0.142857143,0,0,0,0,0,0,0,0.7142858,0,0,0,0.666666729,0,0.013462476,0,-0.011027122,-0.009290118
0,0,0,0,0,0,0,0,0,-0.166666784,-0.230769231,0,0,0,0,0.01859705,0,0.005003423,0.005626431
0,0,0,0.149999982,0,0,0,0,0,0.200000169,0,0,0,0,0,0.005738443,0,-0.014081757,-0.001491891
0,0,0,0,0,0,0,0,0,0.166666608,0.3,0,0,0,0,-0.004149476,0.111111213,-0.020413958,-0.019051292
-0.333333333,-0.25,0,0.021739582,0,0,0,0.055194831,-0.1666667,0,-0.538461538,0,-0.285714286,0,0.063829764,-0.024999804,0,-0.014801055,0.00380766
0,0,0,0,-0.399999959,-0.208333283,0,0,0,0,1.166666667,0.124999987,0,0,-0.25,-0.022436072,0,-0.022423114,-0.01176009
0,0,0,-0.021277028,0,0.263157815,0,0,0,0,0,-0.222222201,0.4,0,0.333333333,-0.004371758,0,-0.000306221,-0.008445163
0,0,0,0,0,0,0,0,0,0.7142858,0,0,0,0,-0.010000009,0.052140442,0,0.002600607,-0.003484111
-0.5,0,0,0,0,0,0,0,0,0,0,0.142857125,0,0,0,0.037558531,0,0.033564565,0.016316878
0,0,0,0,0,0,-0.4,0,0,0,0,0,-0.428571429,0,0,-0.009552301,0,-0.000516315,-0.003822677
0,0,0,-0.108695187,0,0,0,0,0,0,0.153846154,0,0,0,0,0.022517856,0,-0.017501478,0.00882572
0,-0.166666667,0,0,0,0,0.333333333,-0.007692337,0,-0.041666762,0,-0.124999987,0,0,0,-0.02402412,0,0.009094461,-0.013693517
0,0,0,0,0,-0.001666659,0,0.007751968,0,-0.347826091,0,0,0,0,0,0.02769222,0,0.017280078,-0.010798215
0,0.6,0,0,0,0,0,0,1,-0.333333357,0,0,0.25,0,0,-0.031935823,0,-0.002050512,0.004288618
0,-0.125,0,0,0,0,0,0,0,0.500000053,0,0,0,0,0,0.021133831,0,0.00418215,0.003493485
0,0,0,0,0,0.302170324,0,0,-0.599999994,0,0,0.571428502,0,0,0,0.011105856,0,-0.006502469,-0.002707581
0,-0.285714286,0,0.07317073,0,0.125641023,0,0,2.124999953,0,0,0,-0.2,0,0,-0.011483018,0,0.015811243,0.003491056
0,0.2,0,0,0,0.013667463,0,0,0,0,-0.333333333,-0.272727252,0.25,0,0,0.021717222,0,0.017229914,0.013142406
0,0,8.272726731,0,0,-0.101123629,0,0,-0.2,0,0.5,0.124999987,0,0,0,0.003954383,0,-0.001280776,-0.002289065
0,0,0,-0.045454815,0,0.037499943,0,0,0,0,0,0.222222201,0,0,0,-0.040866667,0,-0.016105029,-0.014913894
0,-0.5,0,0,0,0.024096487,0,0,0,-0.066666615,0,-0.272727252,-0.2,0,0,-0.01488655,0,0.007894799,-0.006987533
0,0,0,-0.047619258,0,0.070588225,0,0,0.950000048,0,0,0,0.25,0.59999994,-0.484848471,-0.035435398,0,-0.018396252,-0.007427798
0,0,0,0.050000232,0,-0.098901132,0,0,0,0.285714426,0,0,-0.2,-0.124999977,0.764705823,0.046461477,0,0.007027935,0.003938607
