BTTR,MULN,VIVK,ABVC,CODA,SPCB,LINK,QUBT,BLFS,HROW,BTCS,AYTU,MIGI,OGEN,IOVA,NTRP,TILE,CDE,ESSA,PETS
0,0,0,0,-0.149999945,0,0.007143236,-0.448275872,-0.181818168,0.333333333,-0.36363632,0,-0.008981964,0,0,-0.1772152,0.010827404,-0.002053435,-0.005191774,-0.006750499
0,0,0,0,0.176470512,0,0,0,0.111111101,0,0,0,0,0,0.038095238,0.123076952,0.011476857,-0.009876534,-0.007307395,-0.006797269
0,0,0,0,0,0,0,0,0,0.299999952,0,0,0,0,-0.027522936,-0.19178083,0.004538637,-0.027847053,-0.003154523,0.018819654
0,-0.28,0,0,0.099999991,0,0,0,0,0.346153896,0,0,-0.003021184,0,0.273584906,0.203389795,-0.002258867,0.024796919,0.010548986,-0.00839611
0,0.388888889,0,0,-0.272727252,0,0,0,0,0,0,0,0,0.12,-0.148148148,0.169014127,-0.00301933,0.015018799,0.028183434,0.005926911
0,0,0,0,1.499999947,0,0,0,0,0,0,0,-0.242424242,-0.178571429,0.017391304,-0.0361446,0.027252285,-0.01027538,-0.002030546,0.008417313
0,0,0,0,-0.099999991,0,0,0,0,0.400000027,0,0,0.315999952,0,-0.042735043,0.112499952,-0.002947821,-0.017026572,0.0010174,0.005843042
0,0,0,0,0.111111101,0,0,0,0,0.122448958,0,0,0,0.086956522,0.017857143,0,0.00591315,0.002957317,-0.002032487,0.023236745
0,0,0,0,-0.159999986,0,0.06382979,0.562499977,0,0.636363636,0.142857078,0,0,0,0.00877193,-0.067415669,0.024981206,0,-0.002036565,0.004055112
0,0,0,0,0.107142897,0,0,-0.080000019,0,0,0,0,0,0.2,-0.017391304,-0.024096362,-0.025806418,0.024431337,0.005101895,0.054119409
0,-0.28,0,0,-0.086021494,0,0,-0.217391309,-0.099999991,-0.222222222,0.625000017,0,0,-0.453333333,-0.097345133,0.074074,-0.020603452,-0.033717093,-0.003045635,0.024521299
0,0.166666667,0,0,0.047058816,0,0.066666961,0,0,0,0,0,0,0,0,-0.08045975,-0.015026075,-0.042553191,0.004073314,0.000748313
0,0,0,0,0,0,0,0,0,-0.214285714,0,0,0,0.280487805,0,0,0.00991589,-0.015555573,-0.004056789,-0.017190379
0,0,0,0,-0.002247277,0,0,0,-0.222222201,0,-0.230769218,0,0,0.428571429,0.12745098,-0.074999988,0.000755761,-0.01173816,-0.006110001,-0.026616151
0,0,0,0,0.002252338,0,0.012499761,0,0,0,0,0,0,0.3,0,0,-0.033207868,0,0,-0.017187259
0,0,0,0,0,0,0,-0.111111074,0,0.018181801,0,0,0,-0.282051282,0.026086957,0,0.027322614,-0.002284113,0.014344273,0.041335428
0,0,0,0,0.011235906,0,0,0,0,0.250000021,0,0,0,0,-0.110169492,0.0135135,0.040273453,0.054029318,-0.005050543,0.002290141
0,-0.047619048,0,0,0,0,0,0,0,0,-0.099999958,0,0,0.271428571,0.123809524,0,-0.029218354,-0.039096421,-0.004060908,-0.009139525
0,0,0.018181764,0,-0.166666698,0,0,0,0,0.014285701,0,0,0,0.123595506,0,0.133333333,0.001504567,-0.014466618,0.011213109,0.014604276
0,0,0,0,-0.266666652,0,0,0,0,-0.014084494,0,0,0,-0.2,0,-0.058823529,0.017280247,0.015596338,0.00302372,0.014393955
-0.5,0,0,0,0.636363665,0,0,0,0,0,-0.222222235,0,0,-0.00625,-0.059322034,-0.037500024,-0.005169923,-0.020325152,-0.015074834,-0.004480873
0,0.15,-0.017857091,0,-0.222222201,-0.75,0.061728665,0,0.714285627,-0.014285701,0,0,0,0,0,0,-0.039346612,0.008298769,-0.004081749,-0.030757571
0,0,0,0,0.071428502,2.75,0,0,-0.33333331,0.01449274,0,0,0,0,0.063063063,-0.025974002,-0.001545263,-0.006401522,0.004098478,0.01470557
0,0.043478261,0,0,0.12000005,0,0,0,0,0.171428544,0,0,-0.012158019,0,-0.101694915,0.159999975,-0.012383926,-0.033133885,-0.005102385,-0.017543785
0,0.041666667,0,0,-0.285714307,0,0,-0.375000009,0.249999973,0.085365832,0.428571385,2.499999893,0,0.006289308,0.009433962,0,0.010188206,-0.002855758,0.010256614,0.004658624
