LINK,QUBT,HROW,FPAY,RCAT,BTTR,VIVK,ABVC,PHIO,TGTX,SPCB,CODA,NCPL,COSM,AYTU,MULN,BTCS,MIGI,OGEN,COCP,ESSA
0.071428609,0,0.052631579,0,0,0,0,0,0.008196721,-0.011999989,0,-0.0012547,0,0,0,0.428571429,0,0,0,0,-0.007889315
0,0,0.010000038,0,0,0,0,0,-0.024390244,-0.068825941,0,0.060301457,0,0,0,0,0,0,-0.06,0,0.017892532
0,0,0.019801961,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,-0.008510638,0,0.010742426
0,0,0.165048522,0,0.5,0,0,3.850000004,-0.008333333,0,0.125,-0.052132677,0,0,0,-0.2,-0.75,0,0.008583691,0,-0.010628253
0.111110802,-0.333333333,0.25,0,0,0,0,0,-0.067226891,-0.02173911,0,0,0,0,0,-0.5,0,0,0,0,-0.002929339
-0.049999517,0,0,0,0,0,0,0.340206299,0.036036036,0,0,-0.202500021,0,0,0,0.9,0,0,0,0,0.003917611
-0.026316322,0,0.253333282,0,0,0,0,0,0.034782609,0,0,0.018808829,0,0,0,0,0,-0.175862059,0,0,-0.00784326
0,0,-0.148936136,0,0,0,0,0,0,0,-0.055555556,0.461538467,0,0,0,-0.052631579,1,0,0,-0.068571448,0.002964547
-0.027026719,0,0.168750048,0,0,0,0,-0.692307719,-0.075630252,0.00444444,0,0.157894671,0,0,0,-0.388888889,0,0,0,0,0.00394089
0,0,-0.090909128,0,0,0,0,0,0.018181818,-0.004424775,0,-0.05454545,0,0,0,0,0,0,-0.076595745,0,-0.016682919
0,0,0,0,0,0,0,-0.249999936,0.0625,-0.00444444,0,0.057692303,0,0,0,-0.090909091,2.500000199,0,0.138248848,0,0
0.1666666,0,0.029411765,0,-0.333333333,1,0,0,-0.075630252,0,0,-0.136363587,0,0,0,0.3,-0.214285768,-0.828451882,0,0,0.000997886
-0.095237836,0,0.057142857,0,0,0,0,0,0,0.026785689,0,-0.004210597,0,0,0,0.153846154,-0.090909056,4.780487552,-0.068825911,0,-0.002991385
0,0.299999952,0,0,0,0,0,0,0,-0.02173911,0,-0.007399545,0,0,0,0,0.299999979,0,-0.043478261,0,0.007000603
0,0,0,0,0,-0.5,0.00172851,-0.166666723,0.045454545,0,0,-0.159744439,0,0,0,0.2,-0.384615391,0,0.018181818,0,-0.002979384
0,1.307692392,0.005405426,0,0,0,-0.200000025,0,-0.069565217,0.022222201,-0.941176471,0,0,0,0,0,0.250000033,0,0,0,0.008963914
0,-0.566666683,0,0,0,0,0,-0.200000014,-0.009345794,0,16,-0.036755336,0,0,0,0,-0.200000021,0,-0.107142857,0,0.021717928
0,0.538461595,-0.059139804,0,0,0,0,0,-0.028301887,-0.02173911,0,0.052631573,0,0,0,-0.277777778,0,0,0,0,0.020290101
0,0,0.085714286,0,0,0,0,0,0.029126214,0,-0.176470588,0,0,0,0,0.153846154,0.125000083,0,0.1,0,-0.016098494
0,0,0,0,0,0,0,0,0.08490566,0,0.214285714,0,-0.052631579,0,0,0.2,0,0,-0.022727273,0,-0.006737595
0,0,0,0,0,1,0,0,-0.043478261,0,0,0,0,0,0,0.388888889,0,0,0.023255814,0,0.008721169
0,0,0.021052612,0,0,0,0,0,0.054545455,0,-0.058823529,-0.020000019,0,0,0,33.80000057,0,-0.01265819,0,0,-0.015369962
0.052631044,0,0,0,0,-0.5,-0.642156847,0,-0.00862069,0,0,0,0,0,0,-0.024137955,0,0,-0.031818182,0,-0.007804768
0,0,0.030927855,0,0,0,0.64383553,0,-0.026086957,0.00444444,0,0,0,0,0,0.008245003,0,0,-0.046948357,0,-0.004916658
0,0,0.055000019,0,0,0,0,0,0,0,0,-0.031887725,0,0,0,0,0,0,0.009852217,0,-0.016798435
0,0,0.421800922,0,0,0,0,0,0.026785714,-0.004424775,-0.125,-0.050065881,0,0,0,0.038551394,0,0,0,0,0.012060672
0,0,-0.059999975,0,0,0,0.120000048,0,-0.017391304,0,0.142857143,-0.001386956,0,0,0,-0.002249703,-0.111111177,0,0,-0.079754582,0.007944158
0,-0.100000024,-0.109929089,0,0,0,0,-0.399999974,-0.008849558,0,-0.875,-0.027777774,0,-0.74358975,0,-0.095828659,0,0,0.024390244,0,-0.004926112
0,0,0,0,0,0,0,0.666666596,-0.017857143,0,7,0,0,0,0,-0.026184495,0.125000083,0,0.023809524,0,-0.008911134
0,0,-0.003984079,0,0,0,0,-0.5,-0.018181818,0,0,0.014285713,0,1.5,0,0,0,0,-0.023255814,0,0.017982275
0,0,0,0,0,0,0,0,-0.027777778,0,0,0,0,-0.4,0,-0.04097311,0,0,0,0,-0.004906775
0,0,0,0,0,0,0.428571462,0.100000026,0.038095238,0.00888888,0,-0.014084505,-0.222222222,0.333333333,0,0.001335104,0,0,0,0,-0.001972506
0,-0.611111107,-0.2,0,0,0,0,0,0,-0.008810564,0,0.099999927,0,0,0,-0.121333378,0,0,-0.014285714,0,-0.008893171
0,0,0.05,0,0,0,0,0,-0.036697248,-0.039999962,0,-0.088311639,0,0,0,-0.080424835,0,0,0.019323671,0,-0.002991385
0,0,0,0,0,0,0,0,0.00952381,0.041666625,-0.125,0.038461492,0,-0.399999976,0,0.031353099,-0.111111177,0,-0.028436019,0,0.010000369
0,1.571428547,-0.095238095,0,0,0,0,0,0.037735849,-0.044444402,0,-0.039780466,0,0,0,-0.015999977,0,0,0.024390244,0,-0.010891216
0,0,-0.078947368,0,0,0,0,0,-0.054545455,0,0,0,0,0,0,0.022764251,0,0,0.019047619,0,0.019019275
