SPCB,COSM,OPXS,PED,GMGI,ABVC,OGEN,CPSS,IESC,BVFL,TOMZ,POAI,BYRN,WKHS,ARMP,VIVK,BTCS,MIGI,COCP,BKYI,BTTR,QUBT,TGTX,AYTU,HROW,LINK,FPAY,INTZ,BHRB,WFCF,CODA,TROO,APDN,GTIM,WSBF,MULN,AIRI,QRHC,ACAD,IOR,ASTH,RCAT,SNFCA,CDMO,RIME,MLSS,MCVT,AXDX,SLS,HOV,NCPL,PHIO,RCON,SLNH,NTRP,BLFS,VUZI,PHM,IBCP,NEPH
0,0,0.315789468,0.300000068,0.388888917,0,-0.244444444,0.008695644,-0.029045713,0,0,-0.189189189,0.24999995,0,-0.1,0,0.200000021,0,0,0,0,-0.199999988,-0.418604651,0,-0.222222215,0,0,0,-0.00180746,0.184210522,0,0.046511583,0.166666667,0.074380092,0.027396928,0,0,0,-0.039106109,-0.081081083,0,0,0.147059079,0.010526242,-0.142857127,0,0,-0.022900777,0.097087379,-0.01980198,0,0,0.027027073,0.4,0.136363612,0,0,-0.035914611,-0.012048375,0.0888888
0,0,0.200000067,0.07692309,-0.144000009,0,0.323529412,-0.008620682,0.09401711,0,0,0,-0.033333302,0,0,0,-0.166666681,0,0,0,0,0,0,0,0,0,0,0.020833313,0,0,0,0,-0.142857143,0.069230797,-0.013333218,0,0,0.030303074,-0.040697704,-0.014705868,0,0,-0.064102602,-0.010416594,0,0,0.388888962,0,-0.053097345,-0.070707071,0,0,0.065789444,-0.285714286,0.019999981,0.090909084,0.125,-0.030267716,-0.006097432,0.020408199
0,0,0,0,0.401869146,0,0,0.017391288,0,0,0,-0.133333333,0.068965449,0,0,0,0,0.048387097,0,-0.222222249,0,0.874999972,-0.16,0,0,0,0,0.224489772,0,0,0,0.05555557,0.166666667,0,-0.004504353,0,0,0,0.048484875,-0.007462679,0,-0.375,-0.034246122,0,0,-0.33333335,0,-0.078124999,-0.018691589,0.047101449,0,0,0.049382735,0,-0.019607825,-0.33333331,0,0.048018933,-0.036809748,0
0,0,0,-0.071428583,-0.15999998,0,0,0.059829107,-0.019531232,0,0,-0.384615385,0.129032293,-0.162162162,0.222222222,0,0,-0.015384615,0,0.142857197,0,-0.466666659,-0.19047619,0,0,0.126666201,0,0,0.004074124,0,0,0.052631592,-0.142857143,-0.007194238,0.058823564,-0.28,0,-0.352941181,0.017341024,-0.015037669,0,0.6,-0.035461622,0,0,0,0,-0.025423745,0.019047619,-0.020761246,0,0,0.011764663,0.466666667,-0.039999962,0,-0.111111111,-0.027491357,0.019108151,0.010000017
0,0,-0.066666615,0,-0.206349185,0,-0.071111111,-0.016129017,0,0,0,0.375,0,0,-0.090909091,0,0,0,0.476000027,0,0,0,0,0,0,0,0,0.083333333,0,0,0,0,0,0,-0.047008946,0.388888889,0,0.454545445,0,-0.007633581,-0.333333333,0,0.080882385,0.010526242,0,0.375000009,0,0.043478261,0.102803738,0.045936396,0,0,-0.116279024,-0.318181818,-0.145833387,0,-0.125,0.004711532,-0.012500008,-0.049504929
0,0,0,0,-0.050000023,0,0,-0.016393427,0.01195218,0,0,-0.090909091,0,0,-0.1,0,0,0,0,0.124999986,0,0.874999972,0.176470588,0,0,-0.008875695,0,0,0,0,0.249999967,-0.069999993,0,0,-0.008968227,-0.32,-0.678423237,0,-0.034090877,0,0,-0.25,0.006802632,-0.020833376,0,0,0,0.025000016,-0.042372881,-0.050675676,0,0,0.013157847,0,0.170731781,0,0,-0.026963495,-0.006328979,0.020833257
0,0,-0.1428571,0,-0.052631604,0,0,0.01666665,0,0.090908963,0,-0.02,0,0,0,0,0,0,0,0,-0.5,-0.266666651,-0.15,0,0,0,0,0.076923077,0.004283147,0,0,0.096774165,0,-0.057971046,0.072398103,0.470588235,0,0,-0.017647112,0.015384693,0.200000048,0.333333333,-0.054054351,0,0,0,0,0.008130035,-0.053097345,-0.014234875,0,0,0,0,0.24999995,0,0,0.062650519,-0.012739046,0.020408199
0,0,0.124999846,0,0.044444467,0,0,0.008196713,0.094488194,-0.133333226,0,-0.081632653,0,0,0,0.014545429,-0.299999979,0,0,0,1,0.181818113,-0.058823529,0,0,-0.089552318,0,0,-0.007407085,0.133333302,0,0,0,0.053846196,0.004219581,0,0,0,-0.011976037,0.02272725,0,-0.375,-0.0214283,0.010638416,0,-0.399999989,-0.40000004,-0.016129017,0.196261682,0.010830325,0,0,0.129870147,0,-0.083333333,0,0,-0.026077121,0.012903423,0
0,0,0.074074097,0,0,0,-0.114832536,0.008130073,0,0,0,-0.133333333,0,0.129032258,0.111111111,0,0.857142771,0,0,-0.1111111,0,0,-0.168750021,0,0,0.03606642,0,0,0,-0.01960781,5.800000128,-0.029411737,0,0,-0.025210247,0,0,0,-0.036363602,-0.0148148,0,0,0,0,-0.083333322,0,0,0,0.1328125,-0.035714286,0,0,-0.126436754,0.333333333,0.090909091,0,0.285714286,-0.015133795,0,0
0,0,0,-0.153846181,-0.159574465,0,-0.027027027,-0.032258034,-0.079136702,0,0,0.230769231,-0.457142864,0,0,-0.014336893,-0.153846173,0,0,0,0,-0.384615353,0,0,0,0,0,0,0.007462359,-0.079999981,-0.411764717,-0.080808063,0.166666667,0,0.03017236,0,0,-0.406250016,-0.018867981,-0.015037669,-0.1666667,0,-0.029196634,-0.010526432,0,0,0.066666645,0.008196753,0.15862069,-0.059259259,0,0,0,-0.175,-0.150000016,0.124999987,-0.111111111,-0.003546036,0.025477255,-0.099999958
