BTTR,MULN,VIVK,ABVC,CODA,LINK,QUBT,BLFS,HROW,FPAY,SPCB,AYTU,PED,AIRI,INTZ,ESSA,BTCS,MIGI,OGEN,QRHC,ACAD
0,0,0,0.024691342,0,0,0.100000024,0,-0.009901027,0,0.142857143,0,0,0,0,-0.009999778,0,0,0.28,-0.1,0.04137927
0,-0.56,0,0,-0.178571437,0,0,0,-0.15,0.538461595,0,0,0.285714251,0,0,-0.015151751,0,-0.129230751,0,-0.022222201,-0.00662251
0,0.272727273,0.005454547,0.80722887,0.043478219,0,0,0,-0.105882364,0,0,0,0,0,0,-0.008205118,-0.200000021,0.095406337,-0.28125,0.022727251,0.039999962
0,0,0,0,0.166666726,0,0,0.249999973,-0.31578949,0,0.625,0,0,0,0,0.013443981,-0.374999983,0,0,0,0.006410327
0,0,0,-0.333333318,0,0,0,0.099999991,0.038461595,0,-0.153846154,0,0,0,0,0.012244818,0,0,0,-0.111111111,-0.012738917
0,0,0,0,-0.214285749,0,0,-0.272727252,0,0,0,0,-0.333333333,0,0,-0.008064565,0,0,0,0,-0.032258035
0,0,0,0,0.090909084,0,0,0,0,0,0,0,0,0,0,0.003048669,0,0,0,0,0
0,0.142857143,0,0,0.166666726,0,0,0,0.129629592,0,0,0,-0.166666698,0,0,0.02330268,1.199999915,0,0.043478261,0.375,0.026666641
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009901545,-0.545454528,0,0,0,-0.025974002
0,0,0,0,0,0,0,0,0,0,0.363636364,0,0,0,0,-0.001960987,0,0,0,-0.018181801,0
0,0,0,0,0,0,0,-0.124999987,0,0,0.066666667,0,0,0,0,0.00687641,0,0,0,0.018518501,0.013333321
0,0,0,0,0,0,0.090909111,0,0.065573787,0,0,0,0.200000045,0.015527923,0,0,0.200000021,0,0.083333333,-0.090909091,0.046052667
2,-0.125,0,0,-0.142857186,0,0.083333251,0,0,0,0,0,-0.166666698,0,0,0,0,-0.067741974,0.223076923,0.1,-0.006289302
0,0,0,0,0,-0.069767459,0.923076994,0,0.138461553,0,0,0,0.400000091,0,0,0,-0.333333363,0.034602078,0,0.018181801,-0.012658291
0,0,0,0,0,0,0,0,-0.162162199,0,0,0,0,0,0,0.004878026,-0.249999967,0,0,0.017857126,-0.038461503
0,0,0,0,-0.119999977,0.124999735,0,0,-0.016129017,0,-0.4375,0,0,0,0,0.011649826,0,0,0,0.052631614,-0.053333362
0,0,0,0,0.136363607,0,0,0.142857125,0.31147543,0,0.444444444,0,0,0,0,-0.000959043,0,0,-0.025157233,-0.083333333,-0.021126741
0,0,0,0,0,0.111110802,0,0,-0.262499988,0,0,0,0,0,0,0.000959964,0.666666637,0,0,0.07272729,0
0,0,-0.005424957,0,0,0,0,0,0,0,0,-0.714285706,0,0,0,0,-0.200000021,0,0,-0.033898353,0.043165513
0,0.142857143,0,0,0,0,0,0,0.101694897,0,0,0,0.142857085,0,0,-0.001919125,0,-0.003344421,0,-0.017543844,-0.055172442
0,0,0,0,0,0,0,0,0,0,-0.230769231,0,-0.124999956,0,0,0.000961927,0,0,0,0.053571464,0.065693455
0,0,0,0,0,0.149999982,0.6,0,0,0,0,0,-0.142857166,0,0,-0.005763824,0,0,-0.148387097,0,-0.034246623
0,0,0,0,0,0,0,0,-0.076923077,0,0.3,0,0,0,0,-0.003865251,0.250000033,0,0,0,0
-0.333333333,-0.25,0,0,0,0.021739582,0,0,0,0,-0.538461538,0,0.166666698,0,0,-0.000969276,0,0,0,0.016949136,-0.021276576
0,0,0,-0.399999959,-0.208333283,0,0,0.124999987,0,0,1.166666667,0,0,0,0,-0.006796412,0,0,0,0.050000032,-0.050724676
0,0,0,0,0.263157815,-0.021277028,-0.125,-0.222222201,-0.016666651,0,0,0,0.142857085,0,0,0.009775247,0,0,0,-0.015873076,0.015267253
0,0,0,0,0,0,-0.428571429,0,0,0,0,0,0,0,0,-0.002903941,-0.200000021,0,0,-0.112903199,-0.015037669
-0.5,0,0,0,0,0,0,0.142857125,0,0,0,0,0,0,0,0.00485423,0,0,0.96969697,0.07272729,0.022900834
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.005797354,0,0,0,0.067796625,-0.007462679
0,0,0,0,0,-0.108695187,0,0,0.016949136,0,0.153846154,0,0.125000027,0,0,0.017492896,0,0,0.153846154,0,0.022556369
0,-0.166666667,0,0,0,0,0,-0.124999987,0,0,0,0,0,0,0,-0.005730451,0,0,-0.066666667,-0.047619076,0.014705868
0,0,0,0,-0.001666659,0,0,0,0,0,0,0,-0.111111132,0,0,-0.004802706,0,0,-0.017857143,-0.033333302,-0.02173911
0,0.6,0,0,0,0,0.549999952,0,0,0,0,0,0.249999982,0,0,-0.000970628,0,0,0.163636364,0.068965449,0.022222201
0,-0.125,0,0,0,0,0,0,0,0,0,2.499999893,0,0,-0.416666667,0.005825593,0.250000033,0,-0.178125,0.048387129,0.00724637
0,0,0,0,0.302170324,0,-0.35483869,0.571428502,0,0,0,0,0,0,0.714285714,0.002895637,0,0,0.140684411,-0.076923077,0.071942464
0,-0.285714286,0,0,0.125641023,0.07317073,0.75,0,-0.016666651,0,0,0,0,0.29969428,0,-0.002887277,0,0,-0.066666667,0.083333333,0.026845612
0,0.2,0,0,0.013667463,0,0,-0.272727252,0.016949136,0,-0.333333333,0,0,0.058823422,0,0.014478418,0.200000021,0,-0.096428571,0,0
0,0,8.272726731,0,-0.101123629,0,0,0.124999987,0,1.549999952,0.5,0,0,0,0,-0.003805787,1,0,0.035573123,0.015384601,0.045751669
0,0,0,0,0.037499943,-0.045454815,0,0.222222201,0,0,0,0,0,0.055555718,0,-0.013371655,0,-0.006711389,0.106870229,-0.015151501,-0.08749999
0,-0.5,0,0,0.024096487,0,0,-0.272727252,0,0,0,0,0,0.094736746,0,0.044530625,0,0,-0.068965517,0,0.027397233
0,0,0,0,0.070588225,-0.047619258,-0.400000027,0,0,0,0,0,0,0.201922939,0,-0.01760879,0,0,0.018518519,-0.015384601,0.00666666
0,0,0,0,-0.098901132,0.050000232,0.428571493,0,0,0,0,0,0,0.003200044,0,-0.007547283,0,0,-0.134545455,0,0.026490041
0,1.333333333,0,0,-0.024390241,0,0,0.37499996,0,0,0,0,0,0,0,0.011406733,0,0,-0.092436975,0.062500014,0.045161326
0,-0.5,0.016470595,0,-0.024999997,0,0,-0.272727252,0,0,0,0,0,0,0,0.008458762,-0.249999978,0,0,0.014705868,0.098765411
0,2.428571429,0,0,0.025641023,-0.095237836,0,0.124999987,0,0,0,0,0,0,0,0.006523878,0,0,0.134259259,0.072463767,-0.011235945
0,-0.666666667,0,0,0.249999973,0,0,-0.111111101,0,0,0,0,0,0,0,0.013888669,0,0,-0.085714286,0,0.028409064
0,1.5,0,0,0.070000037,-0.052631797,-0.300000032,-0.124999987,0,0,0,0,0,0,0,0,0,0,0,0.027027001,0.02762435
0,0,0.225694493,0,-0.018691587,0,0,0.428571376,0,0,0,0,0,0,-0.316666683,-0.012785174,0,-0.003378419,0.008928571,-0.026315765,0.005376339
0,0,0,0,-0.047619082,0,0.428571493,-0.199999983,0,0,0,0,0,0,-0.243902445,-0.004625126,0,0,0.084070796,-0.054054066,-0.021390354
0,0,0,0,0.000999996,0,0,0.249999973,0,0,0,0,-0.199999989,0,0.774193603,0.000928923,0,0,0.020408163,0.028571401,0.027322378
0,0,0,0,-0.000998997,0.055555798,-0.300000032,0.099999991,0.133333365,0,0,0,0,0,0.090909091,0.000928616,0,0,-0.004,-0.166666645,-0.021276576
0,0,0,0,0.077000006,0,0,-0.090909084,-0.117647084,0,0,0,0,0,0,-0.002782821,0,0,-0.036144578,0.050000032,-0.048913061
0,0,0,0,-0.001857002,-0.105263688,0,0.099999991,0,0,0,0,0,0,0,0.01395349,0,0,-0.0625,0,0.011428561
0,-0.35,0,0,-0.088372104,0,0,0.090909084,0.133333365,0,0,-0.642857147,0.375000009,0,0,0.044036483,0,0,0.333333333,0.015873,-0.08474575
0,0,0,0,0.020408161,0,0,0,0,0,0,0,0,0,0,-0.055360088,0,0,-0.183333333,-0.015624985,-0.030864168
0,0,0,0,0.175000006,0,0,0.416666779,-0.117647084,0,0,0,0.181818219,0,0,0.018604431,0,0,-0.020408163,0.015873,0.025477682
0,0,0,0,-0.021276576,0.000588508,0,-0.117647141,0.083333333,0,-0.2,0,-0.07692309,0,0,0.01187215,0,0,0,0,-0.018633522
0,0,-0.905571292,0,0.034782605,0,0,-0.066666606,0,0,0,0,0.083333349,0,0,-0.018050439,0,0,0.041666667,-0.015624985,0.006329108
0,0,9.62499971,0,-0.042016838,0.005291043,0,-0.071428563,-0.030769201,0,0.666666667,0,0.153846181,0,0,-0.040441405,0,0,0,-0.015873076,-0.018867981
0,0,0,0,-0.035087717,0,0,0.076923067,0,0,0,0,0,0,0,-0.022988287,0,-0.006779641,0,0.032258112,-0.019230752
0,-0.230769231,-0.898039221,0,0,-0.005848261,0,-0.214285749,0.079365077,0,0,0,0,0,0,-0.002940708,0,0,0.004,0,0.026143844
0,0,0,0,-0.045454503,0,0,-0.090909084,0,0,0,0,0,0,0,0,0,0,-0.087649402,0.062500014,-0.012738917
0,0,0,0,-0.038095233,-0.058822966,-0.285714253,-0.099999991,0,0,0,1.800000034,0.666666616,0,-0.050000032,0.03933077,0,0,-0.126637555,-0.088235348,0
0,0,0,0,-0.039603955,0,0,0,-0.07352941,0,0,0,0,0,0,0.033112481,-0.333333353,0,0.25,-0.016129017,0.032258112
0,0.6,8.076923312,0,0.010309233,0,0,0,0,0,0,0,0,0,0,-0.009157404,0.500000044,0,0,0.114754147,0.03124997
0,0,0,0,-0.132653006,0,0,0.555555598,0,0,0,0,0,0,0,-0.023105368,0,0,0.04,-0.07352941,-0.024242401
0,0,0,0,0.05647054,0,0,-0.285714312,0.015873,0,-0.2,0,-0.040000007,0,0,-0.011352776,0,0,0.134615385,0,-0.049689467
0,0,0,0,-0.120267305,0,0,0,0,0,0,0,-0.5,0,0,-0.006698452,0,0,0.016949153,-0.047619076,0.026143844
0,0,0,0,0.012658281,0,0,0,0,0,0,0,0,0,0,0.052022782,0,0,-0.033333333,0.050000032,-0.038216599
0,0,0,0,0,0,0,0.30000006,0,0,0,0,0,0,0,-0.017399056,0,-0.010238928,-0.051724138,-0.095238153,0.039735141
0,0,0,0,-0.037500049,0,0,0.076923067,0,0,0,0,0,-0.043062238,0,-0.00186371,0,0,0,0.017543927,-0.031847178
0,-0.375,0,0,0.006493589,0,0,-0.285714312,0,0,0,0,0,0,0,0.003734716,-0.111111177,0,0,0.137930981,-0.013157882
0,0,0,0,0.095483781,0,0,0.400000051,0,0,0,0,2.720238123,0,-0.561403494,-0.003720819,0,0,-0.018181818,-0.015151501,0.00666666
0,0,0,0,-0.10482916,0,0,-0.071428563,0,0,0,0,0,0,1.239999962,-0.016807169,0,0,-0.018518519,-0.076923077,0.052980161
0,0,0,0,0.250000028,-0.125000573,0,0,0.015624985,0,0,0,0,0,0,-0.000949441,0,0,0,-0.166666667,0.0754717
0,0,0,-0.833333348,-0.15789476,0,0,-0.230769266,0,0,0,0,0,0.016666768,0,-0.013307874,0,0,0,0.160000038,-0.005847948
0,0,0,0,-0.062500047,0.178571901,0,0.199999983,0,0,0,0,0,-0.098360544,0,0.00770713,0,0,0,0.034482725,-0.0411765
0,0,0,0,0.06666672,0,0,0.166666726,0,0,0,0,0,0.018181643,0,0.006691818,0,0,0,-0.166666667,0.01840489
0,0,0,0,-0.162499983,0,0,-0.285714312,0.230769231,0,0,0,0,0,0,0.000949895,0,0,-0.003773585,0.060000038,0.018072344
0,0.5,0,0,0.194029826,-0.030302784,0,0,0,0,0,0,0,0,0,-0.004743834,0,0,-0.041666667,-0.056603808,0.02958577
0,0,0,0,0.059999951,0,0,0,0,0,0,0,-0.55,0,0,-0.015252739,0,0,0,-0.180000019,0.017241363
0,-0.2,0.078644053,1,-0.05660373,0,0,0,0,0,0,0,0,0,0,-0.012584593,0,0,0.177865613,0.195122002,0
0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0,-0.392857115,-0.001960785,0,0,0.006711409,-0.142857198,0.011299424
0,0.083333333,0,0,0,0,0,0,0.0625,0,0,0,0,0,0.558823542,0.00687623,0,0,-0.05,-0.047619004,0.005586587
0,-0.461538462,0,0,0,0,0,0,0.470588235,0,0,0,0,0,0,0.024390133,0,0,0.052631579,0.125,0.00555555
0,0,0,0,0,0.043749387,0,0,-0.24,-0.411764695,0,0,-0.166666667,0,0,-0.001904535,0,0,-0.1,-0.066666709,-0.005524857
0,0,0,0,0,0,0,0.400000051,0.063157935,0,0,0,0,0,0,-0.020992255,0,0,0,0.07142862,-0.011111101
0,0,0,0,0,0.005988341,0,0,-0.059405976,0,0,0,0.2,0,0,-0.009746938,0,0,-0.159259259,-0.111111111,0.005617972
0,0,0,0,-0.003749984,0,0,0,0,0,0,0,-0.333333333,0.087500029,0,-0.00196874,0,0,0.101321586,0.200000048,-0.005586587
